,id,location.city.name,location.city.normalized_name,location.district.name,location.region.name,location.region.normalized_name,title,price,currency,floor_select,furniture,builttype,m,rooms,rent
16741,766011727,Inowrocław,inowroclaw,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajmę mieszkanie super lokalizacja,999.0,PLN,2,yes,blok,32,two,1
16742,749860327,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,"Mieszkanie 3-pokojowe, 85 m2 w centrum miasta",3100.0,PLN,3,yes,kamienica,85,three,350
16743,768828118,Łasin,lasin,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajmę mieszkanie w Łasinie - ul. Odrodzenia Polski 8 m 1,900.0,PLN,Parter,no,blok,53,two,1500
16744,725460722,Kamień Krajeński,kamien-krajenski,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajmę mieszkanie,850.0,PLN,Parter,yes,kamienica,33,two,500
16745,770011052,Brodnica,brodnica,,Kujawsko-pomorskie,kujawsko-pomorskie,"Mieszkanie umeblowane 46m, garaż, winda, duży taras, niskie opłaty,",1700.0,PLN,1,yes,blok,46,two,480
16746,770203575,Lubicz Górny,lubicz-gorny,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajem mieszkania,1000.0,PLN,1,no,wolnostojacy,36,one,
16747,768958930,Toruń,torun,,Kujawsko-pomorskie,kujawsko-pomorskie,Do wynajęcia pomieszczenie 40m z garażem dwustanowiskowym 30m.,900.0,PLN,3,no,wolnostojacy,70,two,
16748,768811226,Brodnica,brodnica,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajmę kawerke w centrum,1250.0,PLN,Parter,no,blok,24,one,
16749,765992999,Grudziądz,grudziadz,,Kujawsko-pomorskie,kujawsko-pomorskie,Piękne mieszkanie - dostępne od zaraz !,1500.0,PLN,Parter,yes,blok,65,three,
16750,765947441,Grudziądz,grudziadz,,Kujawsko-pomorskie,kujawsko-pomorskie,48m2 - Umeblowane i wyposażone !  WARTO,1100.0,PLN,9,yes,blok,48,three,
16751,732369192,Ciechocinek,ciechocinek,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajmę Mieszkanie w Ciechocinku 46m2 od 1 Sierpnia,1700.0,PLN,,yes,blok,46,three,
16752,768799610,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,Piękne nowoczesne mieszkanie 3 pokojowe,2600.0,PLN,,yes,blok,49,three,
16753,764761645,Golub-Dobrzyń,golub-dobrzyn,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajmę mieszkanie 40m2,1300.0,PLN,,yes,kamienica,40,one,
